Hidden_Neurons,Learning_Rate,Batch_Size,Activation_Function,Epochs,Balanced_Accuracy,Macro F1 Score,Accuracy,Time(s)
8,0.01,8,ReLU,50,0.5027464996626181,0.5543243059335873,0.9732237539766702,5.849620500011952
8,0.01,8,ReLU,100,0.5027464996626181,0.5543243059335873,0.9732237539766702,5.906319000001531
8,0.01,8,ReLU,300,0.5027464996626181,0.5543243059335873,0.9732237539766702,5.731440900010057
8,0.01,8,ReLU,500,0.5027464996626181,0.5543243059335873,0.9732237539766702,5.847441299993079
8,0.01,8,ReLU,1000,0.5027464996626181,0.5543243059335873,0.9732237539766702,6.101380599997356
8,0.01,8,Tanh,50,0.4655284368301977,0.5084197627697853,0.9679215270413574,5.183351299987407
8,0.01,8,Tanh,100,0.4655284368301977,0.5084197627697853,0.9679215270413574,5.407423399999971
8,0.01,8,Tanh,300,0.4655284368301977,0.5084197627697853,0.9679215270413574,4.928051399998367
8,0.01,8,Tanh,500,0.4655284368301977,0.5084197627697853,0.9679215270413574,5.034368599997833
8,0.01,8,Tanh,1000,0.4655284368301977,0.5084197627697853,0.9679215270413574,5.0740678000001935
8,0.01,8,Sigmoid,50,0.5316190114709851,0.5832629499336527,0.972693531283139,4.81986109999707
8,0.01,8,Sigmoid,100,0.5316190114709851,0.5832629499336527,0.972693531283139,4.940038000000641
8,0.01,8,Sigmoid,300,0.5316190114709851,0.5832629499336527,0.972693531283139,5.0494298999983585
8,0.01,8,Sigmoid,500,0.5316190114709851,0.5832629499336527,0.972693531283139,5.199877099992591
8,0.01,8,Sigmoid,1000,0.5316190114709851,0.5832629499336527,0.972693531283139,5.0205571000115015
8,0.01,8,GELU,50,0.5027464996626181,0.5543243059335873,0.9732237539766702,4.235755300003802
8,0.01,8,GELU,100,0.5027464996626181,0.5543243059335873,0.9732237539766702,4.340291999993497
8,0.01,8,GELU,300,0.5027464996626181,0.5543243059335873,0.9732237539766702,4.383297100008349
8,0.01,8,GELU,500,0.5027464996626181,0.5543243059335873,0.9732237539766702,4.367658300005132
8,0.01,8,GELU,1000,0.5027464996626181,0.5543243059335873,0.9732237539766702,4.3835524000023725
8,0.01,8,Softmax,50,0.5027464996626181,0.5543243059335873,0.9732237539766702,4.615797800011933
8,0.01,8,Softmax,100,0.5027464996626181,0.5543243059335873,0.9732237539766702,4.384621400007745
8,0.01,8,Softmax,300,0.5027464996626181,0.5543243059335873,0.9732237539766702,4.112953899995773
8,0.01,8,Softmax,500,0.5027464996626181,0.5543243059335873,0.9732237539766702,4.2339089999877615
8,0.01,8,Softmax,1000,0.5027464996626181,0.5543243059335873,0.9732237539766702,4.449760800009244
8,0.01,16,ReLU,50,0.4816874181352703,0.5264679485605973,0.9703075291622482,2.1023735999915516
8,0.01,16,ReLU,100,0.4816874181352703,0.5264679485605973,0.9703075291622482,2.0223316999909002
8,0.01,16,ReLU,300,0.4816874181352703,0.5264679485605973,0.9703075291622482,2.038939299993217
8,0.01,16,ReLU,500,0.4816874181352703,0.5264679485605973,0.9703075291622482,1.981602900006692
8,0.01,16,ReLU,1000,0.4816874181352703,0.5264679485605973,0.9703075291622482,2.0232669999968493
8,0.01,16,Tanh,50,0.5040581958998174,0.5286405287448971,0.9684517497348887,2.572024599998258
8,0.01,16,Tanh,100,0.5040581958998174,0.5286405287448971,0.9684517497348887,2.662093899998581
8,0.01,16,Tanh,300,0.5040581958998174,0.5286405287448971,0.9684517497348887,2.507606500003021
8,0.01,16,Tanh,500,0.5040581958998174,0.5286405287448971,0.9684517497348887,2.5752231999940705
8,0.01,16,Tanh,1000,0.5040581958998174,0.5286405287448971,0.9684517497348887,2.5732953999977326
8,0.01,16,Sigmoid,50,0.44604804219258554,0.4844916871787235,0.96898197242842,2.1181608000042615
8,0.01,16,Sigmoid,100,0.44604804219258554,0.4844916871787235,0.96898197242842,2.3177098000014666
8,0.01,16,Sigmoid,300,0.44604804219258554,0.4844916871787235,0.96898197242842,2.3530101999931503
8,0.01,16,Sigmoid,500,0.44604804219258554,0.4844916871787235,0.96898197242842,2.3417002000060165
8,0.01,16,Sigmoid,1000,0.44604804219258554,0.4844916871787235,0.96898197242842,2.2196134999976493
8,0.01,16,GELU,50,0.4816874181352703,0.5264679485605973,0.9703075291622482,1.9819241000077454
8,0.01,16,GELU,100,0.4816874181352703,0.5264679485605973,0.9703075291622482,1.9786333000083687
