dataset_clean,LogisticRegression,RandomForest,XGB,MLP
GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,0.4875,0.50625,0.503125,0.513125
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,0.500625,0.504375,0.509375,0.64125
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,0.49875,0.479375,0.4925,0.7625
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,0.525,0.49875,0.50625,0.549375
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,0.478125,0.5125,0.515,0.684375
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,0.48875,0.52125,0.498125,0.7206250000000001
Hill_Valley_with_noise,0.809405941,0.566831683,0.499174917,0.6171617161716172
Hill_Valley_without_noise,0.844330065,0.55995098,0.517647059,0.6160130718954249
agaricus_lepiota,0.951071688,1.0,0.900968633,1.0
allbp,0.637020441,0.65258943,0.494366633,0.6283640176927093
allhyper,0.609994087,0.561766182,0.560258613,0.6012638108049069
allhypo,0.619413293,0.753506339,0.518247157,0.6614692143989782
allrep,0.519922073,0.657716273,0.534134897,0.5959848451020084
analcatdata_aids,0.52,0.62,0.52,0.64
analcatdata_authorship,0.998017459,0.97729925,0.767264338,0.9983108108108107
analcatdata_bankruptcy,0.88,0.9,0.78,0.8999999999999999
analcatdata_boxing1,0.566849817,0.695970696,0.483516484,0.6465201465201464
analcatdata_boxing2,0.57203879,0.680096975,0.548603094,0.6989148002770722
analcatdata_creditscore,0.834855403,0.993150685,0.98630137,0.8759512937595129
analcatdata_dmft,0.534097442,0.517480272,0.505924641,0.2337344744016184
analcatdata_fraud,0.554376658,0.606100796,0.550397878,0.636604774535809
analcatdata_germangss,0.586666667,0.526666667,0.531666667,0.42
analcatdata_happiness,0.675,0.475,0.5125,0.6333333333333333
analcatdata_lawsuit,0.626638024,0.943286788,0.876369495,0.9412459720730396
ann_thyroid,0.679621948,0.997220903,,0.93994962290886
backache,0.549677419,0.516774194,0.495483871,0.6180645161290322
breast_cancer,0.624465906,0.608838162,0.54413228,0.6493415276558384
bupa,0.608946342,0.571779182,0.521954008,0.6446846422807961
cars,0.774423664,0.93476079,0.651873835,0.7357621529624508
chess,0.964810169,0.970697213,0.540572472,0.994057239314861
clean1,0.997584541,1.0,1.0,0.9546540236697018
clean2,1.0,1.0,1.0,0.9997312309621932
cloud,0.596620457,0.652365288,0.570028587,0.3723958333333333
coil2000,0.50615044,0.5,0.497202666,0.5097387504305012
collins,0.795524773,1.0,,0.7366153565088657
confidence,0.85,0.925,0.833333333,0.8333333333333334
connect_4,0.506949324,0.5,0.561263144,0.5799586477525439
corral,0.857936508,1.0,0.565079365,0.9095238095238096
dermatology,0.98607679,0.976819279,,0.9744890214737988
dna,0.9609765,0.945415073,,0.9523543680461078
ecoli,0.894337925,0.892161596,,0.8525774225774226
iris,0.9,0.965,0.58,0.9466666666666668
irish,0.754261456,1.0,1.0,0.9964028776978416
kr_vs_kp,0.96448273,0.970697213,0.568970043,0.9946564004892168
labor,0.922972973,0.895945946,0.641891892,0.8844594594594595
mfeat_factors,0.9875,,0.775833333,0.9774999999999998
mfeat_fourier,0.881944444,,0.751666667,0.8375
mfeat_karhunen,0.961944444,0.964166667,0.853888889,0.963
mfeat_pixel,0.973611111,0.975277778,0.839722222,0.9715
mfeat_zernike,0.888333333,0.871666667,0.763333333,0.841
mofn_3_7_10,0.962912817,0.897260274,0.563050865,1.0
molecular_biology_promoters,0.764150943,0.886792453,0.679245283,0.8018867924528302
monk3,0.782477026,0.988865393,0.980184837,0.9871292815371764
mushroom,0.94574127,1.0,1.0,0.9998723186925432
mux6,0.609375,1.0,0.5078125,0.9140625
optdigits,0.974390265,0.97845488,0.785193216,0.9850588343593902
pendigits,0.934792161,0.982629311,0.639188485,0.9930085479303636
penguins,0.989973262,0.993315508,0.863923974,0.9879129734085416
prnn_crabs,0.995,0.955,0.805,0.99
prnn_synth,0.844,0.816,0.704,0.868
segmentation,0.941414141,0.982070707,0.613888889,0.9696969696969698
soybean,0.966674562,0.982713658,,0.9517001114827202
spambase,0.925921291,0.912716998,0.659766741,0.9446133100570484
splice,0.85938894,0.954275843,0.687073197,0.9234657601954138
texture,0.9973,0.9754,,0.9965454545454544
threeOf9,0.781435932,0.987226277,0.542645525,0.986398208918604
tokyo1,0.909242426,0.926140275,0.726385916,0.926281718828089
twonorm,0.977430993,0.940405038,0.575859071,0.9786479771973552
vowel,0.732777778,0.971111111,0.796666667,0.9707070707070709
waveform_21,0.894529071,0.865425381,0.705575749,0.8717869145765285
waveform_40,0.89496012,0.87202528,0.651372503,0.8681120071345548
wine_recognition,0.981734145,0.975951269,,0.9812206572769954
xd6,0.759834369,1.0,0.585303546,1.0
