Hidden_Neurons,Learning_Rate,Batch_Size,Activation_Function,Epochs,Balanced_Accuracy,Macro F1 Score,Accuracy,Time(s)
8,0.01,8,ReLU,50,0.385,0.3761760516645603,0.385,0.4134731000085594
8,0.01,8,ReLU,100,0.385,0.3761760516645603,0.385,0.3929556000075536
8,0.01,8,ReLU,300,0.385,0.3761760516645603,0.385,0.3830386000045109
8,0.01,8,ReLU,500,0.385,0.3761760516645603,0.385,0.349932400000398
8,0.01,8,ReLU,1000,0.385,0.3761760516645603,0.385,0.3822664000035729
8,0.01,8,Tanh,50,0.3925,0.3689292958376303,0.3925,0.4132552000082796
8,0.01,8,Tanh,100,0.3925,0.3689292958376303,0.3925,0.4243003000010503
8,0.01,8,Tanh,300,0.3925,0.3689292958376303,0.3925,0.3826548999932129
8,0.01,8,Tanh,500,0.3925,0.3689292958376303,0.3925,0.4753993000049377
8,0.01,8,Tanh,1000,0.3925,0.3689292958376303,0.3925,0.4342620999959763
8,0.01,8,Sigmoid,50,0.405,0.3640486505667478,0.405,0.3568931000045268
8,0.01,8,Sigmoid,100,0.405,0.3640486505667478,0.405,0.3188640000007581
8,0.01,8,Sigmoid,300,0.405,0.3640486505667478,0.405,0.3397770000010496
8,0.01,8,Sigmoid,500,0.405,0.3640486505667478,0.405,0.3599737000040477
8,0.01,8,Sigmoid,1000,0.405,0.3640486505667478,0.405,0.3504421999969054
8,0.01,8,GELU,50,0.385,0.3761760516645603,0.385,0.3491014000028372
8,0.01,8,GELU,100,0.385,0.3761760516645603,0.385,0.3405205000017304
8,0.01,8,GELU,300,0.385,0.3761760516645603,0.385,0.3706620000011753
8,0.01,8,GELU,500,0.385,0.3761760516645603,0.385,0.3915311000018846
8,0.01,8,GELU,1000,0.385,0.3761760516645603,0.385,0.4139760000107344
8,0.01,8,Softmax,50,0.385,0.3761760516645603,0.385,0.4009181000001263
8,0.01,8,Softmax,100,0.385,0.3761760516645603,0.385,0.4025020000117365
8,0.01,8,Softmax,300,0.385,0.3761760516645603,0.385,0.4033352999977069
8,0.01,8,Softmax,500,0.385,0.3761760516645603,0.385,0.381058099999791
8,0.01,8,Softmax,1000,0.385,0.3761760516645603,0.385,0.3919127999979537
8,0.01,16,ReLU,50,0.3425000000000001,0.315998872057652,0.3425,0.2336336000007577
8,0.01,16,ReLU,100,0.3425000000000001,0.315998872057652,0.3425,0.2450267000094754
8,0.01,16,ReLU,300,0.3425000000000001,0.315998872057652,0.3425,0.2740591000037966
8,0.01,16,ReLU,500,0.3425000000000001,0.315998872057652,0.3425,0.2149669999926118
8,0.01,16,ReLU,1000,0.3425000000000001,0.315998872057652,0.3425,0.2340299999923445
8,0.01,16,Tanh,50,0.37,0.3607434686271177,0.37,0.2447469000035198
8,0.01,16,Tanh,100,0.37,0.3607434686271177,0.37,0.2470414999988861
